collected_videos_count,collection_time,id,nickname,followers,hearts
1.0,1674148803051.0,30732329049,Shop Taly,82.0,19.0
1.0,1674150136905.0,lhasagna,Lhasa Pereyra,93.0,120.0
1.0,1674148611175.0,nrose.clothing,N’ROSÉ,2.0,3.0
1.0,1674150137974.0,beyouth.clothing,beyouth.clothing,0.0,2.0
1.0,1674148633478.0,hellolarosabyh,Larosa by H,11.0,2.0
1.0,1674148589196.0,liin.vn,liin.vn,6.0,3.0
1.0,1674148672301.0,d.d.e.t.s,ᴅᴅᴇᴛs,1365.0,3657.0
2.0,1674149839455.0,hymyng,Hy My,2931.0,55600.0
2.0,1674148632054.0,cozy.clubb,cozy.clubb,16.0,37.0
2.0,1674148603637.0,31865110201,Venuco HN Sang,1.0,9.0
2.0,1674148596162.0,curvyq.hn62,curvyq.hn,10.0,0.0
2.0,1674148978265.0,hiuroom,Hiuroom,197.0,42.0
2.0,1674149750616.0,shamong.vn,Sha Mông,90.0,7.0
2.0,1674149933624.0,marchy.saigon,MARCHY saigon,1142.0,13000.0
2.0,1674149593721.0,scstudiosvn,SOCIAL COMMITMENT,17.0,1.0
2.0,1674148655151.0,letrantuongly,Bé Ly hay tò mò 🐼,158.0,588.0
2.0,1674148641029.0,end.payce,END.PAYCE,2477.0,4830.0
2.0,1674149055992.0,adore.dress,Marketing Phòng,2.0,3.0
2.0,1674148486798.0,stressmama.brand,stressmama.brand,31.0,21.0
2.0,1674148724063.0,tudocuanie,TudocuaNie,5.0,22.0
2.0,1674148700138.0,foryoustore.vn,foryoustore.vn,3.0,3.0
3.0,1674148749184.0,30348940393,Ebra Le,9508.0,30400.0
3.0,1674148637432.0,giaogiaoday,giaogiaoday,283.0,6125.0
3.0,1674148602199.0,olivace.studio,Olivace.studio,1.0,5.0
4.0,1674149122444.0,anhtuyet_1609,Ánh Tuyết,220.0,1867.0
4.0,1674148496938.0,happyzoo_store,happyzoo_store,3309.0,25600.0
4.0,1674148759944.0,mihie_mihie,Mihie_mihie,50.0,224.0
4.0,1674148680541.0,beautebyv123,Phùng Thảo Vân,4.0,11.0
4.0,1674149598475.0,stitchstudio,stitchstudio,10.0,76.0
4.0,1674149926163.0,rokeeoo,ROSIE,29.0,277.0
4.0,1674148831028.0,dilyshoesofficial,dilyshoesofficial,1234.0,6657.0
4.0,1674149709881.0,eumso.official,Eumso.Official,1.0,10.0
4.0,1674148522782.0,zukyclothing,ZukyClothing,44.0,6.0
4.0,1674148465519.0,philinh_,Đinh Ngọc Phi Linh,441.0,427.0
5.0,1674149167816.0,embellshouse,EMBell's House,21.0,139.0
5.0,1674148587746.0,misoakimanh,Misoa Kim Anh,4044.0,7124.0
5.0,1674148635752.0,huongboutiqueofficial,HuongBoutique,5.0,8.0
5.0,1674148428619.0,soleil_room20,Chi Thảo,6.0,74.0
5.0,1674148860539.0,colkidsclub1010,Colkidsclub1010,4627.0,72100.0
6.0,1674149928017.0,waffobia,Mike  ☀️,555.0,2171.0
6.0,1674149234780.0,chithuocda,Chỉ Thuộc Da,157.0,482.0
6.0,1674148822381.0,vhoangdiem,Hoàng Diễm,11900.0,54900.0
6.0,1674149018629.0,nakedbyv,NAKEDBYV,354.0,326.0
6.0,1674148861883.0,st2wear,ST2WEARSHOP,2.0,9.0
6.0,1674150996904.0,douxria,ria🐣,15.0,27.0
7.0,1674148653105.0,fusionism.vn,Fusionism.vn,1572.0,8492.0
7.0,1674149117440.0,kyduyenbae,✨Kyduyenbae✨,729.0,1987.0
7.0,1674148896009.0,popbirdy,POPBIRDY,17.0,77.0
7.0,1674148600038.0,soyoungvn,soyoungvn,12500.0,65900.0
7.0,1674149311778.0,dirtycoinssvh,Dirtycoins Sư Vạn Hạnh,283.0,4259.0
7.0,1674148604208.0,artistclub.vn,Artist Club,158.0,2166.0
8.0,1674148840657.0,loubedora,Hy Khánh,69.0,144.0
8.0,1674148426614.0,viweedie,Vy Lê,352.0,2242.0
8.0,1674149349917.0,whattowearvn,Whattowear.vn,27.0,6.0
8.0,1674148643325.0,khazsakkramer,Khazsak,3964.0,24300.0
8.0,1674149267942.0,meoamii,meoamii,62.0,226.0
8.0,1674149363368.0,onon.made,maimaionon,126.0,77.0
8.0,1674148492611.0,urbanoutfits.vn,URBAN OUTFITS,21400.0,73100.0
8.0,1674148593555.0,duxyen16.02,Nguyễn Đỗ Nhi Yến,3815.0,19400.0
8.0,1674149589736.0,elimazdress,Phương Dress,336.0,626.0
9.0,1674148613447.0,originality.official,originality.official,5.0,7.0
9.0,1674148535060.0,rachelaziee,chồ,1084.0,9608.0
9.0,1674148608317.0,manliciouss,manliciouss,79.0,146.0
10.0,1674148523862.0,tu_hhao,Tú Hảo,109700.0,912800.0
10.0,1674148512700.0,thohin,TH✿,109800.0,1200000.0
10.0,1674149910403.0,t_h_u_c,Thuc dep trai,30100.0,691400.0
10.0,1674149639954.0,dotquynhnhu,ĐỖ NHƯ | Model Tips,34600.0,543600.0
10.0,1674148726034.0,thxlinh,Phạm Linh,78300.0,449100.0
10.0,1674148463609.0,stellaminhtunguyen,Minh Tú Nguyễn 🐰,1400000.0,40900000.0
10.0,1674149204866.0,andreaaybar1995,Andrea Aybar,3800000.0,100600000.0
10.0,1674149188238.0,quynhanhshyn_,Quynh Anh Shyn,989900.0,9800000.0
10.0,1674148668072.0,_meiitheo,Mèo không ăn cá 𓆝 𓆟 𓆞,116900.0,4000000.0
10.0,1674148562643.0,thanhthanhla,Fung La,129200.0,805800.0
10.0,1674149162867.0,buikhanhha_,Bùi Khánh Hà,131800.0,1200000.0
10.0,1674236134453.0,jacklynwicks,Jacklyn Wicks,135000.0,2200000.0
10.0,1674148998810.0,hansara.official,Han Sara,1400000.0,15300000.0
10.0,1674148589781.0,sithanh,Sĩ Thanh,1100000.0,11400000.0
10.0,1674148631694.0,yori.babie,Yori.Babie,308200.0,3200000.0
10.0,1674148654986.0,galitv_,GaliTV,16300.0,212200.0
10.0,1674149650037.0,nheephan,✨ Nhee ✨,18300.0,270700.0
10.0,1674149166869.0,dieuhoangg211,Diệu Hoàng 211 💕💕💕,728700.0,4200000.0
10.0,1674148702296.0,blmhuong,MAI HUONG,658200.0,16000000.0
10.0,1674149722207.0,folaooh,folaooh,12400.0,56900.0
10.0,1674148872224.0,hotline.pling,hotline.pling,372100.0,12600000.0
10.0,1674149075121.0,dahan01,Dahan.phuongoanh,1201.0,1994.0
10.0,1674148406239.0,vanpham0719,Van Pham,277700.0,5600000.0
10.0,1674148534111.0,ngoduyenn,WoNi,392200.0,3900000.0
10.0,1674149062395.0,9tailsfoxie,FOXIE,1000000.0,46800000.0
10.0,1674148845039.0,nhuy.ng_,Nguyễn Như Ý,7890.0,56400.0
10.0,1674148374938.0,vixu.official,𝓥𝓲 𝓧𝓾 🌹,1500000.0,19600000.0
10.0,1674149083359.0,jnaofficialll,Jna official,69800.0,298600.0
10.0,1674148780104.0,tra.dang.904,☘️Trà Đặng☘️,19700000.0,430200000.0
10.0,1674149773763.0,meily_mia,Meily mia🌹🥀,1000000.0,8200000.0
10.0,1674148717796.0,linhmieu.51,Linh Miêu,59500.0,262000.0
10.0,1674148894137.0,reencyngo,Reency Ngô,11000000.0,239400000.0
10.0,1674148775918.0,_mayy.01,maymaylovesbobatea🧋,302100.0,5800000.0
10.0,1674149098567.0,pitrancy1,Pitréncì 🦦,414400.0,7100000.0
10.0,1674149010808.0,hoa_2309,Ngô Ngọc Hoà🦄,12900000.0,183500000.0
10.0,1674149185865.0,nruburn,Burn,146600.0,2800000.0
10.0,1674148539473.0,yinyin.official,Yin Yin,2400000.0,35900000.0
10.0,1674148560516.0,phanhh.babe,Phanhhh 💫,42800.0,554800.0
10.0,1674149580141.0,thaonarii,Thảo Nari  🎀,1500000.0,13600000.0
10.0,1674150621255.0,mintuuu_,mintu no haha,155500.0,1400000.0
10.0,1674148535185.0,tyle1994,Ty Lê,4000000.0,94000000.0
10.0,1674149139674.0,vanmii1,Trần Thuỳ Vân,1000000.0,14500000.0
10.0,1674148602714.0,iam.zziinn,IAM ZIN,30300.0,317100.0
10.0,1674149202568.0,emyhaiyen,Phan Hải Yến,5255.0,18900.0
10.0,1674148524523.0,zicky.lee,Zicky Lee 🫦,570400.0,7600000.0
10.0,1674148600666.0,_thuyb,__thuyb,588200.0,5100000.0
10.0,1674148706046.0,rubi0207,Rubi👄,59500.0,900500.0
10.0,1674149206107.0,_linhhkaa_,Linh Ka,2800000.0,28100000.0
10.0,1674149070846.0,ngoc.thao.810,🍀Ngọc Thảo🍀,740500.0,7200000.0
10.0,1674148854611.0,tayyuna.345,𝙏 Â𝙔  𝗬𝗨𝗡𝗔,97900.0,1000000.0
10.0,1674148717866.0,chutprincess,Ig : chutprincess,166300.0,3300000.0
10.0,1674149300670.0,vietphuongthoa98,Việt Phương Thoa,12300000.0,487300000.0
10.0,1674148518489.0,yen.hoang_,Hoàng Yến Official ✨,1100000.0,19400000.0
10.0,1674148610438.0,myka_makeupartist,MYKA MAKEUP ARTIST,37500.0,92100.0
10.0,1674148915201.0,phamthiminhtran.naau,Phạm Thị Minh Trân 🍓,934600.0,21500000.0
10.0,1674149531617.0,minayoungg,Không phải Mina Young ☝🏻,1100000.0,8500000.0
10.0,1674149035586.0,myha2266,My Hà,25800.0,364800.0
10.0,1674148535539.0,tramdo.98,Trâm Đô,5800000.0,81100000.0
10.0,1674148756948.0,hoaiann__,An Japan,11500.0,115700.0
10.0,1674149205382.0,tramemm,Trâm Anh,50200.0,552900.0
10.0,1674148605405.0,baomyme,Bảo My - Doris,672000.0,6600000.0
10.0,1674151586544.0,hyan147,Hy An,31100.0,183200.0
10.0,1674149177193.0,hwitch99,Hương Witch,952400.0,15500000.0
10.0,1674148832258.0,b0orjn,Trần Ngọc Cát Phương,135300.0,699600.0
10.0,1674148626391.0,cciinnn,CiiN,9300000.0,234400000.0
10.0,1674148695547.0,dracumeow,Lan Vy,40800.0,731300.0
10.0,1674148953174.0,dquynh200,Phạm Thị Diễm Quỳnh,892700.0,11200000.0
10.0,1674148522634.0,zaheun,N.ZaHan🇻🇳,8600000.0,181100000.0
10.0,1674149180511.0,tieumyy93,TiểuMyy,1400000.0,16600000.0
10.0,1674148619464.0,lethikhanhhuyen2004,Lê Thị Khánh Huyền,7600000.0,119200000.0
10.0,1674149225337.0,linhbarbie,✨ Linh Barbie ✨,18700000.0,319300000.0
10.0,1674148669420.0,donhatha.official,Đỗ Nhật Hà,133600.0,1300000.0
10.0,1674149876006.0,baona_0801,Na Na T rần 🤌🏻,1300000.0,16900000.0
10.0,1674149033891.0,thieulan.cameo,Thiếu Lan 🦋,1980.0,8768.0
10.0,1674149160606.0,whynotchaooo,Chao,1700000.0,37100000.0
10.0,1674149182640.0,bui_anh,Bùi Anh,14600.0,53800.0
10.0,1674149949921.0,__trang_linh___,Nguyễn Nam Trang Linh,107200.0,913000.0
10.0,1674149619358.0,hoangthachthao_,Hoàng Thạch Thảo,10300.0,46200.0
10.0,1674148648574.0,dundundiary,Nguyễn Phương Dung,729900.0,9400000.0
10.0,1674149696333.0,melyang21,Mel TV,401600.0,6200000.0
10.0,1674149323233.0,du_uyen,Du Uyên💋,503500.0,5700000.0
10.0,1674148611453.0,mindi99,Trần Diễm My,2000000.0,42100000.0
10.0,1674149130413.0,mintuyenn,𝙼𝚒𝚗𝚑 𝚃𝚞𝚢𝚎̂̀𝚗 ✨,131200.0,1000000.0
10.0,1674148981663.0,remmus.official,Remmus.official,146500.0,1200000.0
10.0,1674149852986.0,hangbb_,hangbb_,110500.0,1500000.0
10.0,1674148457420.0,truongquynhanh1201,Trương Quỳnh Anh,1400000.0,13000000.0
10.0,1674148985318.0,bong2502,Bống 💋,1300000.0,16000000.0
10.0,1674149116977.0,bannipham,Banni,105600.0,769700.0
10.0,1674148451112.0,vienvibi_899,Viên Vibi,8400000.0,328600000.0
10.0,1674148673806.0,hoamoclam,Hoa Mộc Lâm,100200.0,507300.0
